page,url,template,kind,file,width,height,subject,prompt,alt,caption,placement,source
/authors/james-okafor/,/authors/james-okafor/,author,portrait,portrait.jpg,600,600,"a bright modern organized kitchen","Editorial portrait photograph of a professional, soft natural light, neutral light background, premium magazine quality, no text, no logos, no watermark","Portrait of James Okafor","","Author portrait — author box and author pages",/images/source/authors/james-okafor/portrait.jpg
/authors/rebecca-torres/,/authors/rebecca-torres/,author,portrait,portrait.jpg,600,600,"a bright modern organized kitchen","Editorial portrait photograph of a professional, soft natural light, neutral light background, premium magazine quality, no text, no logos, no watermark","Portrait of Rebecca Torres, RD","","Author portrait — author box and author pages",/images/source/authors/rebecca-torres/portrait.jpg
/about/,/about/,about,hero,hero.jpg,1600,900,"a bright modern organized kitchen","Featured hero image, a bright modern organized kitchen a bright modern organized kitchen pantry, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A bright modern organized kitchen arranged in a bright, organized pantry","","Hero — immediately below the H1",/images/source/about/hero.jpg
/contact/,/contact/,contact,hero,hero.jpg,1600,900,"a bright modern organized kitchen","Featured hero image, a bright modern organized kitchen a bright modern organized kitchen pantry, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A bright modern organized kitchen arranged in a bright, organized pantry","","Hero — immediately below the H1",/images/source/contact/hero.jpg
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,hero,hero.jpg,1600,900,"a neatly organized pantry","Featured hero image, a neatly organized pantry a beautifully organized pantry with labeled clear glass containers, woven baskets, and natural wood shelves, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A neatly organized pantry with labeled airtight containers","Proper airtight storage keeps a neatly organized pantry fresh for months.","Hero — immediately below the H1",/images/source/pantry-organization/how-to-label-pantry-containers/hero.jpg
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,support,support.jpg,1200,675,"a neatly organized pantry","Detail shot, a neatly organized pantry a beautifully organized pantry with labeled clear glass containers, woven baskets, and natural wood shelves, tight crop on the storage detail, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A neatly organized pantry with labeled airtight containers — supporting storage detail","Detail: a neatly organized pantry in airtight storage.","Supporting — after the storage table (shelf-life) or how-to steps (guides)",/images/source/pantry-organization/how-to-label-pantry-containers/support.jpg
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,pin,pin.jpg,1000,1500,"a neatly organized pantry","Vertical editorial food photograph, a neatly organized pantry a beautifully organized pantry with labeled clear glass containers, woven baskets, and natural wood shelves, minimalist composition with clean negative space in the upper third for a title overlay, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A neatly organized pantry with labeled airtight containers","","Dedicated Pinterest asset (1000×1500) — not rendered on page",/images/source/pantry-organization/how-to-label-pantry-containers/pin.jpg
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,og,og.jpg,1200,630,"a neatly organized pantry","Wide horizontal editorial food photograph, a neatly organized pantry a beautifully organized pantry with labeled clear glass containers, woven baskets, and natural wood shelves, balanced composition centered on the food, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A neatly organized pantry with labeled airtight containers","","Social share asset (1200×630) — not rendered on page",/images/source/pantry-organization/how-to-label-pantry-containers/og.jpg
/pantry-organization/how-to-organize-your-pantry/,/pantry-organization/how-to-organize-your-pantry/,pantryGuide,hero,hero.jpg,1600,900,"a neatly organized pantry","Featured hero image, a neatly organized pantry a beautifully organized pantry with labeled clear glass containers, woven baskets, and natural wood shelves, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A neatly organized pantry with labeled airtight containers","Proper airtight storage keeps a neatly organized pantry fresh for months.","Hero — immediately below the H1",/images/source/pantry-organization/how-to-organize-your-pantry/hero.jpg
/pantry-organization/how-to-organize-your-pantry/,/pantry-organization/how-to-organize-your-pantry/,pantryGuide,support,support.jpg,1200,675,"a neatly organized pantry","Detail shot, a neatly organized pantry a beautifully organized pantry with labeled clear glass containers, woven baskets, and natural wood shelves, tight crop on the storage detail, ultra realistic editorial food photography, bright natural window light, white modern kitchen, premium magazine quality, 85mm lens, shallow depth of field, highly detailed texture, no people, no text, no logos, no watermarks, no AI artifacts, no cartoon, no illustration","A neatly organized pantry with labeled airtight containers — supporting storage detail","Detail: a neatly organized pantry in airtight storage.","Supporting — after the storage table (shelf-life) or how-to steps (guides)",/images/source/pantry-organization/how-to-organize-your-pantry/support.jpg
