page,url,kind,filename,machine-status,blurry-food,duplicated-objects,ai-artifacts,wrong-shadows,unrealistic-hands,melted-textures,incorrect-labels,unreadable-containers,unrealistic-fridge-interiors
/authors/james-okafor/,/authors/james-okafor/,author,portrait,james-okafor-portrait.webp,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/authors/rebecca-torres/,/authors/rebecca-torres/,author,portrait,rebecca-torres-rd-portrait.webp,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/about/,/about/,about,hero,about-us-hero.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/contact/,/contact/,contact,hero,contact-us-hero.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,hero,label-pantry-containers-hero.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,support,label-pantry-containers-support-1.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,pinterest,label-pantry-containers-pinterest.webp,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-label-pantry-containers/,/pantry-organization/how-to-label-pantry-containers/,pantryGuide,og,label-pantry-containers-og.jpg,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-organize-your-pantry/,/pantry-organization/how-to-organize-your-pantry/,pantryGuide,hero,organize-pantry-hero.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-organize-your-pantry/,/pantry-organization/how-to-organize-your-pantry/,pantryGuide,support,organize-pantry-support-1.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-organize-your-pantry/,/pantry-organization/how-to-organize-your-pantry/,pantryGuide,pinterest,organize-pantry-pinterest.webp,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-organize-your-pantry/,/pantry-organization/how-to-organize-your-pantry/,pantryGuide,og,organize-pantry-og.jpg,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-store-pantry-staples/,/pantry-organization/how-to-store-pantry-staples/,pantryGuide,hero,store-pantry-staples-hero.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
/pantry-organization/how-to-store-pantry-staples/,/pantry-organization/how-to-store-pantry-staples/,pantryGuide,support,store-pantry-staples-support-1.avif,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending
